Club Name,Event Type,Event Date,Event Time,Description
Bowling Club,Upcoming,3/5/2024,7:30 PM - 9:00 PM,Experience the joy of bowling with friends. New and experienced players welcome!
Bowling Club,Upcoming,3/15/2024,6:00 PM - 9:30 PM,"End-of-month bowling bash! Strike, spare, or just for fun!"
Bowling Club,Upcoming,3/25/2024,7:00 PM - 10:30 PM,Bowling night is here! Bring your A-game or come to cheer.
Bowling Club,Upcoming,4/4/2024,6:00 PM - 8:30 PM,Team up for our Bowling Extravaganza! Trophies and laughs guaranteed.
Bowling Club,Upcoming,4/14/2024,5:30 PM - 7:00 PM,"Friday Night Strikes! Unwind with bowling, music, and friends."
Bowling Club,Past Due,2/14/2024,7:30 PM - 9:00 PM,Experience the joy of bowling with friends. New and experienced players welcome!
Bowling Club,Past Due,2/4/2024,7:30 PM - 9:00 PM,"End-of-month bowling bash! Strike, spare, or just for fun!"
Bowling Club,Past Due,1/25/2024,7:00 PM - 9:30 PM,Bowling night is here! Bring your A-game or come to cheer.
Bowling Club,Past Due,1/15/2024,6:00 PM - 8:30 PM,Team up for our Bowling Extravaganza! Trophies and laughs guaranteed.
Bowling Club,Past Due,1/5/2024,6:30 PM - 9:30 PM,"Friday Night Strikes! Unwind with bowling, music, and friends."
Counter Strike Club,Upcoming,3/5/2024,7:00 PM - 9:00 PM,Gear up for our Counter Strike face-off. Will you top the leaderboard?
Counter Strike Club,Upcoming,3/15/2024,4:30 PM - 6:30 PM,"Join our CS:GO league: strategy, teamwork, victory!"
Counter Strike Club,Upcoming,3/25/2024,7:00 PM - 9:00 PM,Weekly CS match-up! Improve your skills and meet fellow gamers.
Counter Strike Club,Upcoming,4/4/2024,7:30 PM - 9:30 PM,Counter Strike showdown: Show your skills in our friendly tournament.
Counter Strike Club,Upcoming,4/14/2024,5:00 PM - 7:00 PM,Virtual battlefield awaits! Enter our Counter Strike arena this weekend.
Counter Strike Club,Past Due,2/14/2024,7:30 PM - 9:00 PM,Gear up for our Counter Strike face-off. Will you top the leaderboard?
Counter Strike Club,Past Due,2/4/2024,7:30 PM - 10:00 PM,"Join our CS:GO league: strategy, teamwork, victory!"
Counter Strike Club,Past Due,1/25/2024,4:30 PM - 7:00 PM,Weekly CS match-up! Improve your skills and meet fellow gamers.
Counter Strike Club,Past Due,1/15/2024,4:30 PM - 7:00 PM,Counter Strike showdown: Show your skills in our friendly tournament.
Counter Strike Club,Past Due,1/5/2024,5:30 PM - 7:00 PM,Virtual battlefield awaits! Enter our Counter Strike arena this weekend.
International Graduate Student Association,Upcoming,3/5/2024,7:30 PM - 10:00 PM,"Global potluck this week! Share your culture, taste the world."
International Graduate Student Association,Upcoming,3/15/2024,4:30 PM - 6:30 PM,"International students meetup: Discuss, network, and make friends."
International Graduate Student Association,Upcoming,3/25/2024,6:30 PM - 9:00 PM,"Cultural exchange workshop: Learn, share, and grow with us."
International Graduate Student Association,Upcoming,4/4/2024,7:00 PM - 10:00 PM,Discover global opportunities at our next international student gathering.
International Graduate Student Association,Upcoming,4/14/2024,6:00 PM - 8:00 PM,Join our language exchange soirée and expand your global connections.
International Graduate Student Association,Past Due,2/14/2024,7:00 PM - 10:00 PM,"Global potluck this week! Share your culture, taste the world."
International Graduate Student Association,Past Due,2/4/2024,7:00 PM - 10:00 PM,"International students meetup: Discuss, network, and make friends."
International Graduate Student Association,Past Due,1/25/2024,5:30 PM - 7:30 PM,"Cultural exchange workshop: Learn, share, and grow with us."
International Graduate Student Association,Past Due,1/15/2024,7:00 PM - 10:30 PM,Discover global opportunities at our next international student gathering.
